,text
58,"RT @ChicagoILLINI: GOOD MORNING #chiLLINI 
IT'S GAMEDAY!! Join us at @BHTavernChi for FREE #ILLINI swag!

#NeverWatchAGameAlone

Or visit o…"
59,RT @uncommongrd: Is this not #dinnergoals?? We put a little twist on some of our menu items like our Pistou Gnocchi with perfectly al dente…
60,RT @VillageTap: First time pouring Hidden Hand Brewing The 77 is a Chicago Neighborhood Lager that is light crisp and pairs perfectly with…
61,RT @Beermiscuous: Ryan’s on the bus now to open for the game! If you’re seeing this you should come through and have a beer at 11
62,RT @HugosFrog: Good things rollin’ in at the Frog Bar this weekend 😋🍱 https://t.co/4tHP2Xwgin
63,RT @TheoryChicago: It's okay...we are drooling too!😋 $45 bottomless brunch with an entree of your choice with either bottomless mimosas or…
64,"RT @IrishBistro: 9-0
Let’s Go Liverpool 

@ChicagoLFC 
@LFC https://t.co/WdgggmYo96"
65,"RT @joesonweedst: 🚨FREE SHOW🚨 Saturday, September 3 Earth To Mars - Tribute To Bruno Mars.
Claim your free ticket at https://t.co/ABqI9CKNw…"
66,RT @chicagospurs: Join us tomorrow @CHI_AtlanticBar to watch us play a team with too many signings! Can we make it 10/12 pts to start the s…
67,Amazon bought Whole Foods five years ago for $13.7 billion. Here's what's changed at the high-end grocer https://t.co/XaNbqI6RvE Great documentary as always by @KATIESCHOOLOV with my comments
68,"RT @thisisinsider: 5 toxic chemicals used in fast fashion clothing, and how they can affect your immune system https://t.co/27VoMsGpoF"
69,Question for you Chicago running enthusiast weirdos. Would you do a fully indoor 5k in mid-winter held in somewhere huge like @McCormick_Place or maybe @GooseIsland barrel warehouse?
70,"Been watching @Netflix_Sandman, and I dig it. It's like a Hieronymus Bosch painting had a baby with a Cure song."
71,"Read @belgiansmaak's latest Unrated piece where he tells the story of Cara Pils, Belgium’s undisputed cult favorite beer. https://t.co/vpUxIRuc2I https://t.co/XRDzm4KNpw"
72,"Who's ready for gameday?!

📸 streetwear_aficionado on IG https://t.co/5i6UwKimu7"
73,"""Don't just taste your own juice. Your going to start to like it."" Master Distiller &amp; Blender Lisa Wicker.
@Widow_Jane @BourbonWomen @alwaysaboutwine #BWSIP22 https://t.co/H3tAYdbkLb"
74,I just found out I need to be sociable with other people today for several hours and this does not align with my current levels of available extrovert fuel. Help?
75,RT @birraire: 'There’s a real danger that the constant chemical invention that makes beers taste more vivid is also changing the way we thi…
76,"Cool news. 

https://t.co/LZfzMBnhyK"
77,Did a plant write this? https://t.co/UDAzv1G12x
78,RT @DavidCornDC: I’m old enough to remember when Trump and his supporters believed the mishandling of government information warranted impr…
79,¡Viva la cerveza checa! A splash of Czech-style dark lager adds malty Maillard depth to the mashed black beans in this flavorful tostada preparation. https://t.co/18onpc5089
80,“Or…and hear me out here race flyer guy…. how about I go enjoy 4 “competition beverages” today and NOT run at all? Also you misspelled ‘Washtenaw’ on there.” 🍻 https://t.co/53ZYXbUpYA
81,RT @wildleap: 🍒MAI TAI HAVE A CHANCE🍒 Try this tropical beer special at our End of Summer Luau tonight! Mai Tai Have A Chance is our take o…
82,😳 https://t.co/thONz9BtZg
83,"RT @chibbqk1ng: Eating BIG in Detroit ft. Italian, Syrian, Lebanese, Yemeni, Iraqi, East African, South African, South Asian, Japanese, Vie…"
84,"RT @jaymboller: If I'm the State Fair marketing team, I'm moving mountains to get the corn kid from TikTok to the Corn Roast booth"
85,Not sure what that is about but they seemed to be having a good time at the @StansDonutsCHI 5k. 🥂 https://t.co/b2WRXsLoPJ
86,"RT @BurntHickoryGA: OTW to celebrate 1️⃣0️⃣ years 🥳

#craftbeer #beer #gabeer #atlbeer #georgia #anniversary #party #issaparty #saturdayvib…"
87,"RT @weknowyourdata: @chicagobars I was in the Chicago marathon once, it was the only way I could get across the street."
88,"Yes, that was me at one of “those” stores but the items in those discrete small bags were for other people. It was simply a favor for a friend. 

My personal ban on running anywhere for “fun” remains intact. Those race bibs were for other people. Any report to contrary is a lie! https://t.co/G2n0GfgUeh"
89,"Reports are circulating I was spotted seen leaving one of “those” stores yesterday with several small discrete packages. 

I would like to address these rumors. Yes, that was me. But let it be crystal clear it was purely a favor for a close friend and nothing I partake of myself."
90,"RT @alanblinder: Sarah Nurse had a record-setting, ceiling-breaking performance at the Beijing Games.

But when we met in Toronto this summ…"
91,"RT @WeeklyBeerShow: Promo!!! 
@KonaBrewingCo 
@mauibrewingco https://t.co/KSg0MbeieB"
92,RT @LolOverruled: Hotdogs contain nitrates that literally shave time off your life. Do you need any more proof that they are the ideal food
93,"“a colossus right smack in the middle of the country…. everything that I love about a city — tall towers, hard corners, and sharp elbows.” - @bourdain https://t.co/deZHmd2ZIa"
94,RT @JoeFergChicago: Timely and timelessly instructive lesson on leadership during that most existential “House Divided” era of U.S. history…
95,"Sigh. 

How it started…how it’s going. #SafeCleanCTA https://t.co/yMb0HFPreV"
96,The rise and fall — and rise again — of Abercrombie &amp; Fitch https://t.co/dRh9eKOP7V
97,I just visited Del Taco for the first time and now I understand why Jack in the Box scooped up the chain for nearly $600 million last year https://t.co/Iz3PIXd325
98,And that was a lie! https://t.co/fqpcK9lnl5
99,"In Serbia, more than 1,000 people attending the Belgrade BEERFEST tested their reflexes and motor skills to see how demanding it is to focus on driving while intoxicated, as part of Jelen and our Apatin Brewery's ""jelen kad pijem ne vozim"" campaign. https://t.co/Lz4ySjYD2F https://t.co/6D2nCmBBf0"
100,RT @BondHack: Great one liner
101,"We visited Aldi rival Lidl stores in the US and UK and found that one offered much wackier products, including massage guns, leaf blowers, and $59 kayaks https://t.co/aRasAuGDHA"
102,"Seen the movie #TheBestMan countless times, but watching it on a crisp summer night on a rooftop was by far my favorite. Summer nights in #Chicago https://t.co/fSCTlkcsmA"
103,Feeling compelled to post about brewery to-go pricing in Missoula because someone told me about $30  4-packs from an NYC brewery this week. https://t.co/hu35dJq1kg
104,"RT @WindyCityWxMan: #ChicagoScanner #Chicago

2nd ambulance requested to shooting scene

Female unrelated to the shooting is overdosing

Dr…"
105,RT @CraigWeekend: https://t.co/jMpd12kmoH
106,"RT @fspielman: Hairston to retire from City Council after 24 years representing 5th Ward

(Via Sun-Times) https://t.co/CLTvg8WnUx"
107,"RT @Super70sSports: Kenny Loggins rode right into the danger zone when he inked a 10-day contract with the Lakers - hang on, being told tha…"
108,"Look, like what you like, but why would anyone ever COOK an OYSTER"
109,"Federal agency recommends removal of four lower Klamath River Dams @alannamaddenpdx 

https://t.co/iBF8zc7r2n"
110,Drinking Pilsner @BorderXBrewing https://t.co/hXtuIzfgTG
111,Baseball and imperial stout. A great pairing for relaxation.
112,RT @RonFilipkowski: Stolen documents gave the Soviet Union a nuclear bomb years before they would’ve had it. Stolen documents have gotten t…
113,Here's my girls for #NationalDogDay. They're getting really close to their 14th birthday! https://t.co/8l7hFeelWH
114,"New #beerjob: Warehouse Coordinator Finback Brewery in Queens, NY https://t.co/luzo9AAjTz"
115,"RT @craignewman: In an undisclosed location, drinking one of my all-time favorite beers, the @BegyleBrewing Bitter Man, with @jennin72, @ch…"
116,"RT @brittyknows: Everything is terrible. 
Context: Bella Luna is on the SE corner of the One Chicago building block. https://t.co/szElNJPpj3"
117,"RT @DanelleKosmal: My thoughts on beer, inflation, and the summer selling season as we head into Memorial Day weekend. 🍻🍻 https://t.co/4Tzn…"
118,@JessicaInfante @justindkendall @johnboybrew Cold IPO sounds like my investment in Robinhood last year
119,Undisclosed location. Drinking a cocktail. Toasting iconic @chiarchitecture skyscrapers. https://t.co/E0lKqJFQIn
120,"Families of Ayotzinapa massacre victims march in Mexico City @copycopeland 

https://t.co/9WQP0mFNks"
121,"Follow Courthouse News on Instagram and Facebook:
https://t.co/gl5jtmFmoa

https://t.co/687o8QBLAv"
122,"Say it with us: Awwwwww

📸: rencolleenphotography on IG https://t.co/BsxJuEsXUf"
123,This is the local Belgium news that I'm paying for. https://t.co/l1HmEXGlIC
124,"Amplify Energy and two subsidiaries agreed to plead guilty to Clean Water Act violations — and pay $13 million — for the 25,000-gallon crude oil spill that fouled Orange County beaches in 2021. https://t.co/BWRXevRJjF"
125,"RT @cam_langford: Cautionary @Lyft tale: A Lyft driver who crashed after her fare's enemy, identified as John Doe, opened fire on her vehic…"
126,"2+ years of following @ratemyskyperoom, a deep dive into “How to Zoom Your Room”, and a light office remodel and here is how I showed up on CNBC https://t.co/XaNbqI6RvE https://t.co/F04TyuQaHx"
127,"Big pineapple fan but this misses the mark for me. Faint, artificial flavor with a bad aftertaste. - Drinking a Pineapple by @trulyseltzer - https://t.co/21eIEEOmOU"
128,😍 https://t.co/z0HBYcIKNQ
129,RT @davejourno: My story below. Texas jury is deliberating if fmr. cop Ravi Singh is criminally negligent in killing Maggie Brooks during w…
130,"A jury began deliberations Friday into whether former cop Ravi Singh was justified in killing a woman during a welfare check when he fired on her charging dog, with lawyers arguing over the victim’s culpability in keeping the animal unleashed. @davejourno https://t.co/K2GHFJU490"
131,"The FBI raided Mar-a-Lago as part of a criminal investigation opened by the FBI after Donald Trump produced 15 boxes of missing presidential records earlier this year, the U.S. government revealed Friday. @EmilyZantowNews https://t.co/2msv2tKd8Q"
132,I can’t color in the lines and Ruby is making some stained glass looking greeting cards. https://t.co/bUMzej5abm
133,"Sephora to Pay $1.2M for California Data Privacy Violations
https://t.co/ZPVOrR0Dfy"
134,"RT @EmilyZantowNews: In a footnote, the FBI pointed out that Section 793 of the Espionage Act, “does not use the term ‘classified informati…"
135,RT @EmilyZantowNews: FBI affidavit says Mar-a-Lago raid was part of “criminal investigation concerning removal and storage of classified in…
136,"RT @EmilyZantowNews: Updated: Affidavit used in Trump Mar-a-Lago search warrant made public 

“[P]robable cause exists to believe that evid…"
137,RT @EmilyZantowNews: Unnamed FBI agent who wrote the affidavit believed the following “spaces” @ Trump’s Mar-a-Lago were not “authorized” t…
138,Telling me “Let’s go somewhere we’ve never tried before!” is a very risky game. https://t.co/qjdRidz8Ou
139,At dinner with my mom and the boomer guy at the table behind us who looks like he was likely 1 of the MANY NJans who went to the Sopranos open casting call keeps loudly naming beer styles bc he isn’t sure what he wants but it’s not one of those “IPOs.” God I love eavesdropping.
140,"RT @WhiteHouse: Congresswoman Marjorie Taylor Greene had $183,504 in PPP loans forgiven.

https://t.co/4FoCymt8TB"
141,RT @JuddLegum: Where does Mitch McConnell get millions to deploy around the country in an effort seize control of the Senate and pursue a n…
142,Let's Do This..... https://t.co/gqzu1P1sPu
143,"New #beerjob: WATERBIRD National Account Manager - Western Division Waterbird Spirits in ,  https://t.co/pDMjj3pjvM"
144,RT @chasejohn: The big turnover of Chicago aldermen and alderwomen continues. Hyde Park and South Shore Ald. Leslie Hairston announces she’…
145,"Here's my recipe to make your own fries like this. It takes a bunch more time, but maybe you're not lazy. https://t.co/hzvriKyVpr"
146,"In less than 10 minutes you can have hot, crispy, better than baked fries that taste like they've actually come out of a fryer. AND the cleanup is just a couple tablespoons of oil. 

Also this is not sponsored but someone at @OreIdaPotatoes can write me a check if they want."
147,"The closest to restaurant/fried french fries you can get in your house in the least amount of time are these Ord-Ida fast food fries with the ""pan fry"" method. https://t.co/uz3t85qba7"
148,"Image ID: a small, medium, and large dog all wait patiently for their owner to return with a beer."
149,"From remote Setesdal, Norway, this recipe comes from a special series of beers dedicated to honoring different kveik cultures and the farms and traditions from whence they come. https://t.co/Yq5RSFRWmu"
150,It's not raining yet and there's still time to celebrate #InternationalDogDay on the patio! https://t.co/KioXJTarSg
151,Israel's defense minister said Friday it was important to maintain capabilities for “defensive and offensive purposes” as he met with a senior U.S. official to reiterate Israel's opposition to an emerging nuclear deal with Iran. https://t.co/btWdr8cyDT
152,"An early Holiday gift for gamblers.
Rangers sign well-traveled Keuchel https://t.co/aECQamlVRm"
153,Watching Netflix with ads will cost about half as much as watching Netflix without ads https://t.co/aCEYC82nfq via @Lucas_Shaw
154,RT @copycopeland: The families of the victims of the #Ayotzinapa massacre have begun their first monthly March after the indictment of form…
155,It’s a pretty city. https://t.co/0H1dv4pzjY
156,"Identified by federal prosecutors last year as the “lynchpin” of a $4 million fraud against a health plan for NBA players, former Louisville star Terrence Williams copped a deal and pleaded guilty on Friday. @jruss_jruss https://t.co/qa7TeoOFjU"
157,@beercruncher the second one will bring you right back from the dead.
158,"A federal judge in Arizona dismissed a suit Friday seeking to ban electronic voting machines ahead of the November midterm election, brought by Republican candidates who claim the machines may have security flaws. @themikemcdaniel https://t.co/MBb4UYBLjp"
159,This turned out pretty good. 🤌 https://t.co/cViUZKXYyK
160,Trying to make my brain write things when it absoultely does not want to is not a fun thing.
161,"There are a lot of awesome producers of independent content out there! Find a writer, musician, podcaster, or visual media producer out there and give them a like on this #FollowFriday"
162,Undisclosec location. Drinking beer. Cheers to the weekend @Chicago! https://t.co/vvNTB0nA9d
163,RT @MorissaSchwartz: Scooby is real! https://t.co/vun57alImD
164,RT @allaboutbeer: On the latest All About Beer #podcast @PintsandPanels &amp; @TheDonOfBeer go deep on Kveik w/ guests @RightProperBeer &amp; @Esca…
165,Can't come soon enough https://t.co/SQSfV851jH
166,Going along with the hazy trend. A hazy martini.  🤓 https://t.co/mhRqByhvaF
167,"By a unanimous 3-0 vote, Patricia Guerrero was confirmed Friday to take her place as the next chief justice of the California Supreme Court. @MariaDinzeo https://t.co/92vQjKq3Yx"
168,Very cool https://t.co/aNSbPrRV8f
169,Join the new #ThisIsIndieBeer campaign by sharing your stories and downloading free marketing assets. https://t.co/DD8gykYdtP https://t.co/sTzlNJ5IIq
170,Gotta make sure safe search is on! 😯 https://t.co/7tLMFry5m5
171,This job sounds so fun https://t.co/L99fhcpMDX
172,"RT @firemakerbeer: 🔥NEW RELEASE🔥

🐉Dragon of Mordiford, Porter, 5.5% ABV

Biscuit, toffee and a dry roast coffee. We had a hoard of a good…"
173,"Workers at Michigan Chipotle Restaurant Vote to Unionize
https://t.co/rTxxpm2JPZ"
174,"RT @dachshund_heave: So adorable baby!!  Love or not??
#Dachshund #Dachshunds https://t.co/ZtKo9lcaH5"
175,"New #beerjob: WATERBIRD National Account Manager - Eastern Division Waterbird Spirits in ,  https://t.co/dAt16LjSsd"
176,With Alderwoman Hairston’s retirement @ward32chicago will be last remaining No vote on the 2009 Parking Meter boondoggle still serving on City Council. https://t.co/FK5tRs4AGv https://t.co/LcXUOgpmOC
177,“Hello Sears Tower! I am here to advise  you the new 34th Ward has you (mostly) surrounded!” https://t.co/gQ1lazzmt1
178,"Discover why the engagement and loyalty impact of seamless, personalized experiences, along with the power of agility, are driving retailers’ tech investments."
179,"Hello, weekend. How do you do?

📸 millersintheair on IG https://t.co/44ZNEljAY5"
180,"Labeling ‘forever chemicals’ as hazardous, EPA announces elimination plan @lexandrajones https://t.co/ap5vn0BGLN"
181,Who am I still missing? 🤷‍♂️🤦‍♂️ https://t.co/lZ0JvdLIcz https://t.co/DnF9g7FI1y
182,"RT @joannaklonsky: I learned so much from Ald. Hairston, especially when I was younger and just finding my way around CH/the world. She alw…"
183,"RT @ilsunshine: $50,000 A1 to New Day Bill Conway
https://t.co/DSocczMpVt"
184,Campaign ontribution caps busted in State Attorney General Race per @capitolfax 👇 https://t.co/L6nvk5HAjo
185,@beerinator 0. They're bedbug eggs.
186,Alley is apparently not a giant fan of thunderstorms https://t.co/alu8XS7ew5
187,"I'd prefer an NFT, but the physical card will do https://t.co/wHuTe1OrDH"
188,"Dissolving an extended temporary restraining order Friday, a federal judge gave the California Department of Transportation the green light to begin sweeping an Oakland homeless encampment which may have 200 residents. @nhanson_reports https://t.co/o7mJzyOz0D"
189,"needless to say, i feel VERY confident i tried as extensive of a sample net as realistically humanly possible"
190,"it's very telling that when i look at the ~80 ciders or so that i have left to sample for the book and think ""wow, i'm almost done!"""
191,"RT @NinaPullano: @CourthouseNews Barrack is out on $250M bond, charged with working on behalf of the UAE while Trump was both a candidate a…"
192,RT @RobFromInternet: S03E03 of Rob Talks Beer is out w/ @share_pint. We're talking Helles Lager &amp; switching careers into the beer industry.…
193,I find myself behind a real go getter at this downtown @cta station on this fine Friday. The kids are alright. https://t.co/gtMDam17Tp
194,Custom camo? It must be @KeystoneLightUS and @Realtree https://t.co/OR5XPNiFYu
195,"RT @NinaPullano: Trump is a ""key figure in nearly every aspect of this trial"" as his former campaign adviser Tom Barrack heads to court nex…"
196,"If you could drink one beer for the rest of your life, what would it be?"
197,The Biden administration said Friday there's enough monkeypox vaccine available now but health officials say the shots aren’t getting to some of the people who need the protection the most. https://t.co/um7wxgconr
198,RT @davejourno: Good afternoon from Ft. Worth. Closing arguments about to begin in criminally negligent homicide trial of fmr. @ArlingtonPD…
199,"New #beerjob: Social Media Manager @brooklynbrewery in Brooklyn, NY https://t.co/opfZo15qzH"
200,"1000 point Dow drop plus Trump search warrant affidavit released this afternoon? 

Do not waste this Friday news dump opportunity my flack friends!"
201,"Walmart+ Expands Garage Delivery Service With Smart Tech Partnership
https://t.co/VDmA9JR8hx"
202,I see no way a CTA train wrapped in “Bullet Train” advertising could backfire on them this month. https://t.co/VaSp3h0Cpj
203,Both great logos! Vote for your favorite! https://t.co/31QuKrcRUK
204,The U.S. Secret Service said Friday that it has recovered $286 million in fraudulently obtained pandemic loans and is returning the money to the Small Business Administration. https://t.co/slAhy5SkbQ
205,. @MTVPopstar winner @SamyHawkOficial is heading to the @MTV #VMAs  Red Carpet this Sunday. 🤩 Here’s a throwback to one of his 🔥 performances. https://t.co/5dALXpWMf8
206,"With a plan and the right tools, preparing your yard for the winter doesn't have to be a headache. https://t.co/Zql0Fj2RJK"
207,Really good Macro! Thanks to Mark and Joel for suggesting it! - Drinking a Cream Ale by @geneseebrewery @ Untappd at Home  — https://t.co/gnqTVZ04OJ
208,A lawyer for an Afghan refugee accused in the Albuquerque slayings of three Muslims entered a not guilty plea Friday on her client's behalf. https://t.co/rwLY7UYBiW
209,"Agree to disagree. Ongoing perception (or reality) of unsafe trains &amp; buses will hurt ridership more. Plus let's be real honest here, this summer's CTA onboard violence is not of the ""You bumped me with my backpack on this crowded train! I demand satisfaction!"".

It's robberies. https://t.co/273VuRg8KO"
210,"RT @pdxubrew: Great read about an ""advance"" in brewing technology."
211,Covid-19 vaccine companies wage legal patent war @NinaPullano https://t.co/c9pnKqkHH3
212,"I need your help! ISO: a Big Stout for our next beer box.

https://t.co/GIaP7jAqkZ https://t.co/Q13ExR9ew8"
213,"Good boy o'clock

📸: alleyyeager https://t.co/ArZwQyK6oA"
214,"RT @oconeebrewingco: 🎥 OBC National Dog Day starring Murphy and Milo Hopkins! 🐾 Our Brewery is joyously dog friendly! 

#nationaldogday #ga…"
215,Try to limit yourself to 2 or 3 middle aisles when grocery shopping https://t.co/rBt44J1kW7
216,"RT @CityMarketCoop: Did you know that City Market now carries ready to drink cocktails like @highnoonsunsips , @dogfishbeer &amp; @JuneShineCo…"
217,Why not … https://t.co/ggDh95Qu8C
218,"RT @CPDTransit: Today, Public Transportation Affinity Officers along with @ChicagoCAPS19 and Lincoln Park Community Services conducted a Pu…"
219,RT @steve_vladeck: It also appears that the sinking of the Titanic was just about ice…
220,@guhlo The paradox of choice...now conveniently available in a variety 12-pack!
221,Gold! https://t.co/G4WcLV20QZ
222,RT @eaterchicago: Manny’s Deli will celebrate 80 years of serving Ashkenazi Jewish fare to Chicago with smoked pastrami sandwiches https://…
223,Honestly my reaction here is “Only $50k”? https://t.co/SgswKm46D4
224,"Dollar General Promotes New President and CFO Following Strong Quarter
https://t.co/EGNewnrrDC"
225,"Today's accidental google discovery of the day - amazing @Chicago_Reader profile of an old school Rush &amp; Division Chicago character. 

""Despite Fritzy’s best efforts to change his ways, Terri, wife number whatever, moved out.""

https://t.co/iMrtSdskQf"
226,"They would seem to have a conflict of interest, but I'll allow it https://t.co/osHNdZwvGC https://t.co/pIljyiWmb2"
227,"RT @HopNationUSA: Ep 260 is a #Homebrewing show

We talk to the event organizer of the N. H. Homebrew fest
preview some brewers like 
@Deca…"
228,Card carrying member of the Cold IPA Fan Club https://t.co/aF0DprX0c6
229,"RT @Orpheus_Jason: Agreed. So much of what's happening in ""craft"" beer is a dead end for beer. Seltzer or vodka are better bases for bullsh…"
230,"Last Call: Beer Kulture, Brave Noise, Women of Bevolution Launch $15K Grant Program; Bud Light Names 2 New Creative Agencies.

(subscription not required)

Story by @justindkendall &amp; @JessicaInfante: https://t.co/JMAwxFDZlA https://t.co/XamriJ4HBB"
231,🍺 Latest News &amp; Events from Craft Beer Austin for 08/26/2022 🍻 - https://t.co/IVAOhREQqA
232,"From THC in the taproom to festgoers at FoBAB, here are some recent news and announcements from around the industry. https://t.co/cRxY8crhqB"
233,RT @rickperlstein: Folks finally finding out what historians already know: ain't nothing sexier than archive boxes.
234,"A New Grip on a New Reality — Culmination Brewing in Portland, Oregon by @jgfagerberg https://t.co/Dr1WVnCfXx https://t.co/AZhgkFUQir"
235,"No ruff days

📸: cpbeverage on IG https://t.co/ZBI2SbRP3O"
236,This might be too niche.
